date,url,marketing_segment,page_visits,unique_visitors,return_visitors
2024-01-01,https://example.com/product-page,Direct Traffic,107,84,44
2024-01-01,https://example.com/product-page,Display Ads,30,21,1
2024-01-01,https://example.com/product-page,Email Marketing,78,49,11
2024-01-01,https://example.com/product-page,Organic Search,422,303,0
2024-01-01,https://example.com/product-page,Paid Search,190,119,6
2024-01-01,https://example.com/product-page,Referral,50,35,4
2024-01-01,https://example.com/product-page,Social Media,190,136,32
2024-01-01,https://example.com/product-page,Video Ads,20,13,0
2024-01-02,https://example.com/product-page,Direct Traffic,139,105,33
2024-01-02,https://example.com/product-page,Display Ads,34,22,2
2024-01-02,https://example.com/product-page,Email Marketing,65,47,15
2024-01-02,https://example.com/product-page,Organic Search,382,244,61
2024-01-02,https://example.com/product-page,Paid Search,203,123,13
2024-01-02,https://example.com/product-page,Referral,41,28,2
2024-01-02,https://example.com/product-page,Social Media,127,77,22
2024-01-02,https://example.com/product-page,Video Ads,18,12,0
2024-01-03,https://example.com/product-page,Direct Traffic,115,81,20
2024-01-03,https://example.com/product-page,Display Ads,35,25,2
2024-01-03,https://example.com/product-page,Email Marketing,94,57,29
2024-01-03,https://example.com/product-page,Organic Search,433,267,46
2024-01-03,https://example.com/product-page,Paid Search,173,115,10
2024-01-03,https://example.com/product-page,Referral,58,37,2
2024-01-03,https://example.com/product-page,Social Media,144,110,18
2024-01-03,https://example.com/product-page,Video Ads,23,14,0
2024-01-04,https://example.com/product-page,Direct Traffic,166,115,28
2024-01-04,https://example.com/product-page,Display Ads,34,20,0
2024-01-04,https://example.com/product-page,Email Marketing,104,78,28
2024-01-04,https://example.com/product-page,Organic Search,355,274,76
2024-01-04,https://example.com/product-page,Paid Search,223,136,11
2024-01-04,https://example.com/product-page,Referral,66,46,7
2024-01-04,https://example.com/product-page,Social Media,167,124,28
2024-01-04,https://example.com/product-page,Video Ads,19,13,0
2024-01-05,https://example.com/product-page,Direct Traffic,153,118,61
2024-01-05,https://example.com/product-page,Display Ads,30,19,1
2024-01-05,https://example.com/product-page,Email Marketing,84,65,23
